,Response Time,Availability,Throughput,Successability,Reliability,Compilance,Best Practices,Latency,Documentaion,WsRF,Class,Name,WSDL
0,45.0,83,27.2,50,97.4,89,91,43.0,58,100,1,DictionaryService,http://www.mindswap.org/2002/services/Dictionary.wsdl
1,71.75,100,14.6,88,85.5,78,80,64.42,86,93,1,MyService,http://mydispatch.com/myservice.asmx?wsdl
2,117.0,100,23.4,83,88.0,100,87,111.0,59,90,1,aba,http://www.quentinsagerconsulting.com/wsdl/aba.wsdl
3,70.0,100,5.4,83,79.3,100,75,63.0,91,90,1,AlexaWebSearch,http://wsearch.amazonaws.com/doc/2007-03-15/WebSearch.wsdl
4,105.2,100,18.2,80,92.2,78,84,104.6,91,90,1,ErrorMailer,http://www.errormail.net/EM/ErrorMailer.asmx?wsdl
5,224.0,100,24.6,83,80.0,100,87,223.0,88,90,1,getJoke,http://www.interpressfact.net/webservices/getJoke.asmx?wsdl
6,99.2,100,13.7,80,76.3,78,83,62.4,89,89,1,States_x0020__x0026__x0020_Provinces,http://www.synapticdigital.com/webservice/public/regions.asmx?wsdl
7,108.2,100,16.8,80,90.7,78,77,108.0,94,88,1,XigniteRetirement,http://www.xignite.com/xRetirement.asmx?wsdl
8,125.2,100,16.4,80,89.2,78,84,125.0,93,88,1,DOTSEmailValidate,http://ws2.serviceobjects.net/ev/EmailValidate.asmx?wsdl
9,110.3,100,13.9,87,87.5,78,77,110.3,93,87,1,XigniteNews,http://www.xignite.com/xNews.asmx?wsdl
10,125.2,100,15.9,80,88.3,78,80,125.0,97,87,1,DOTSFastTax,http://ws2.serviceobjects.net/ft/FastTax.asmx?wsdl
11,105.4,100,16.5,80,89.4,78,72,105.4,91,87,1,XigniteCompensation,http://www.xignite.com/xcompensation.asmx?wsdl
12,129.0,100,29.5,83,95.5,100,84,111.0,11,87,1,ConvertCSharp2VBService,http://www.kamalpatel.net/ConvertCSharp2VBService.asmx?wsdl
13,124.92,100,11.9,89,84.1,78,82,124.38,96,86,1,DOTSPackageTracking,http://ws2.serviceobjects.net/pt/PackTrack.asmx?wsdl
14,114.0,100,27.5,50,92.5,78,84,108.0,64,86,1,ssn,http://www.quentinsagerconsulting.com/wsdl/ssn.wsdl
15,125.44,100,13.5,86,86.4,78,80,125.33,91,86,1,FastWeather,http://trial.serviceobjects.com/fw/FastWeather.asmx?wsdl
16,136.07,100,13.5,95,82.3,100,74,110.93,67,85,1,SchemaWeb,http://www.schemaweb.info/webservices/soap/SchemaWebSoap.asmx?wsdl
17,132.0,100,15.1,78,85.5,78,84,131.5,89,85,1,DOTSValidateCanada,http://ws2.serviceobjects.net/avca/ValidateCanada.asmx?wsdl
18,122.0,100,15.4,80,82.5,78,77,122.0,90,85,1,XigniteOFAC,http://www.xignite.com/xofac.asmx?wsdl
19,129.67,100,13.2,86,84.1,78,80,129.56,90,85,1,DOTSFastWeather,http://ws2.serviceobjects.net/fw/FastWeather.asmx?wsdl
20,96.0,100,22.0,78,94.1,78,72,68.75,33,85,1,StockServices,http://glkev.webs.innerhost.com/glkev_ws/StockServices.asmx?wsdl
21,109.09,100,8.7,88,85.4,78,77,109.0,89,84,1,XigniteWatchLists,http://www.xignite.com/xwatchlists.asmx?wsdl
22,77.86,100,7.3,83,87.6,89,75,77.43,58,84,1,AnagramImpl,http://www.claudehussenet.com/ws/services/Anagram.wsdl
23,165.0,100,29.1,83,94.0,100,84,165.0,8,84,1,SignatureVerification,http://www.securexml.net/SecureXML/SecureXML.wsdl
24,50.0,100,2.0,81,77.1,78,58,38.0,41,84,1,SkyPortal,http://www.us-vo.org/summer-school/2005/proceedings/nvoss2005/java/dev/skyportalclient/SkyPortal.wsdl
25,75.0,100,15.0,71,82.2,89,77,74.5,41,84,1,sitePlanService,http://myford.fordvehicles.com/servlet/Xcelerate/wsdl/SitePlan.wsdl
26,159.0,100,26.8,67,87.2,89,72,151.0,57,83,1,sekeywordService,http://www.aspiringgeek.com/cfc/keyword/sekeyword.cfc?wsdl
