,Response Time,Availability,Throughput,Successability,Reliability,Compilance,Best Practices,Latency,Documentaion,WsRF,Class
Response Time,1.0,-0.0001899898802391981,-0.2099888368513507,-0.014584469715377175,-0.09665531013088555,-0.03242467425568483,-0.0031236206512376156,0.9939749391025733,0.04341286287660509,-0.17250501894008932,0.18744690567456038
Availability,-0.0001899898802391981,1.0,0.20837991653055737,0.859873043640394,0.1937117205710434,-0.03828253190049532,-0.02518288894403378,-9.6919570868504e-05,0.192528201293757,0.6404007239320887,-0.52406862599475
Throughput,-0.2099888368513507,0.20837991653055737,1.0,0.11172456577235723,0.5116771306838817,0.29590458658046404,0.18491637415334508,-0.19121215216354173,-0.15494195308369002,0.5410068468543351,-0.5485630173343817
Successability,-0.014584469715377175,0.859873043640394,0.11172456577235723,1.0,0.041327589127728735,0.10700858795778292,-0.18977904354627856,-0.01773468891606272,0.27459607605910075,0.6103307819440683,-0.5160150697393273
Reliability,-0.09665531013088555,0.1937117205710434,0.5116771306838817,0.041327589127728735,1.0,0.05398468410080504,0.21173033638913108,-0.08189935725338082,-0.0736617866738622,0.6321018735419003,-0.6025943779930873
Compilance,-0.03242467425568483,-0.03828253190049532,0.29590458658046404,0.10700858795778292,0.05398468410080504,1.0,0.04889344523361442,-0.023578558600819997,-0.2822110669248703,0.07874362384605205,-0.10665516111456003
Best Practices,-0.0031236206512376156,-0.02518288894403378,0.18491637415334508,-0.18977904354627856,0.21173033638913108,0.04889344523361442,1.0,0.008400020839004648,-0.22804528537005406,0.015557749273323982,0.03458818403865085
Latency,0.9939749391025733,-9.6919570868504e-05,-0.19121215216354173,-0.01773468891606272,-0.08189935725338082,-0.023578558600819997,0.008400020839004648,1.0,0.03534148721860542,-0.16172468908084855,0.1762757162712593
Documentaion,0.04341286287660509,0.192528201293757,-0.15494195308369002,0.27459607605910075,-0.0736617866738622,-0.2822110669248703,-0.22804528537005406,0.03534148721860542,1.0,0.44180857438747956,-0.40025653697408137
WsRF,-0.17250501894008932,0.6404007239320887,0.5410068468543351,0.6103307819440683,0.6321018735419003,0.07874362384605205,0.015557749273323982,-0.16172468908084855,0.44180857438747956,1.0,-0.9188236991849104
Class,0.18744690567456038,-0.52406862599475,-0.5485630173343817,-0.5160150697393273,-0.6025943779930873,-0.10665516111456003,0.03458818403865085,0.1762757162712593,-0.40025653697408137,-0.9188236991849104,1.0
